parallel num, data size, sorting time
0, 10000, 0:00:00.052526
0, 20000, 0:00:00.114650
0, 30000, 0:00:00.200846
0, 40000, 0:00:00.269794
0, 50000, 0:00:00.371190
0, 60000, 0:00:00.626498
0, 70000, 0:00:00.689913
0, 80000, 0:00:00.704886
0, 90000, 0:00:00.828731
2, 10000, 0:00:00.066240
2, 20000, 0:00:00.105194
2, 30000, 0:00:00.154276
2, 40000, 0:00:00.214688
2, 50000, 0:00:00.279150
2, 60000, 0:00:00.362046
2, 70000, 0:00:00.443786
2, 80000, 0:00:00.553329
2, 90000, 0:00:00.665130
4, 10000, 0:00:00.089913
4, 20000, 0:00:00.150667
4, 30000, 0:00:00.188293
4, 40000, 0:00:00.252781
4, 50000, 0:00:00.317230
4, 60000, 0:00:00.394029
4, 70000, 0:00:00.488847
4, 80000, 0:00:00.612277
4, 90000, 0:00:00.707614
6, 10000, 0:00:00.051379
6, 20000, 0:00:00.121221
6, 30000, 0:00:00.185827
6, 40000, 0:00:00.267616
6, 50000, 0:00:00.356402
6, 60000, 0:00:00.464758
6, 70000, 0:00:00.596770
6, 80000, 0:00:00.716200
6, 90000, 0:00:00.834305
